Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
A Zampa,2019-2023,19,19,172,1,941,30,Apr-45,31.36,5.47,34.4,2,0,
PJ Cummins,2019-2023,14,14,126.4,6,691,22,May-70,31.4,5.45,34.5,1,1,
MA Starc,2019-2023,11,11,99.5,1,674,15,May-53,44.93,6.75,39.9,0,1,
JA Richardson,2019-2019,6,6,58,5,281,14,26-Apr,20.07,4.84,24.8,1,0,
JR Hazlewood,2020-2023,7,7,65.3,3,377,13,Mar-38,29,5.75,30.2,0,0,
MP Stoinis,2019-2023,13,12,83.1,1,503,11,27-Feb,45.72,6.04,45.3,0,0,
SA Abbott,2020-2023,6,6,54.4,1,335,7,23-Mar,47.85,6.12,46.8,0,0,
GJ Maxwell,2019-2023,15,14,79.4,1,452,7,Apr-40,64.57,5.67,68.2,1,0,
AC Agar,2020-2023,5,5,48,1,242,6,Feb-41,40.33,5.04,48,0,0,
NM Coulter-Nile,2019-2019,3,3,27.2,3,161,4,Feb-46,40.25,5.89,41,0,0,
KW Richardson,2020-2020,2,2,19.1,0,116,4,Feb-43,29,6.05,28.7,0,0,
JP Behrendorff,2019-2019,4,4,38.2,4,198,3,Feb-39,66,5.16,76.6,0,0,
C Green,2020-2023,7,7,39.4,0,270,3,2/103,90,6.8,79.3,0,0,
NM Lyon,2019-2019,5,5,50,2,242,3,Jan-34,80.66,4.84,100,0,0,
NT Ellis,2023-2023,1,1,5,0,13,2,13-Feb,6.5,2.6,15,0,0,
PM Siddle,2019-2019,3,3,25,1,162,2,Jan-48,81,6.48,75,0,0,
MC Henriques,2020-2020,2,2,8,0,41,1,Jan-34,41,5.12,48,0,0,
T Sangha,2023-2023,1,1,10,0,61,1,Jan-61,61,6.1,60,0,0,
AJ Finch,2019-2020,15,2,4,0,31,0,-,-,7.75,-,0,0,
SH Johnson,2023-2023,1,1,8,0,61,0,-,-,7.62,-,0,0,
M Labuschagne,2020-2023,13,2,3,0,25,0,-,-,8.33,-,0,0,
MW Short,2023-2023,2,2,10,0,54,0,-,-,5.4,-,0,0,
B Stanlake,2019-2019,1,1,10,0,49,0,-,-,4.9,-,0,0,
AT Carey,2019-2023,20,-,-,-,-,-,-,-,-,-,-,-,
PSP Handscomb,2019-2019,8,-,-,-,-,-,-,-,-,-,-,-,
TM Head,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
JP Inglis,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
UT Khawaja,2019-2019,9,-,-,-,-,-,-,-,-,-,-,-,
MR Marsh,2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,
SE Marsh,2019-2019,6,-,-,-,-,-,-,-,-,-,-,-,
SPD Smith,2019-2023,14,-,-,-,-,-,-,-,-,-,-,-,
AJ Turner,2019-2020,6,-,-,-,-,-,-,-,-,-,-,-,
DA Warner,2019-2023,11,-,-,-,-,-,-,-,-,-,-,-,
