Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
MA Starc,10.0,2,43,6,4.3,Australia,v India,Melbourne,18 Jan 2015,ODI # 3582
Mohammed Shami,10.0,1,51,5,5.1,India,v Australia,Mohali,22 Sep 2023,ODI # 4651
BA Reid,10.0,-,53,5,5.3,Australia,v India,Adelaide,26 Jan 1986,ODI # 357
MA Starc,8.0,1,53,5,6.62,Australia,v India,Visakhapatnam,19 Mar 2023,ODI # 4541
B Lee,9.1,1,58,5,6.32,Australia,v India,Sydney,24 Feb 2008,ODI # 2685
KW Richardson,10.0,1,68,5,6.8,Australia,v India,Canberra,20 Jan 2016,ODI # 3726
PJ Cummins,10.0,-,70,5,7.0,Australia,v India,Mohali,10 Mar 2019,ODI # 4111
GD McGrath,10.0,4,8,4,0.8,Australia,v India,Sydney,14 Jan 2000,ODI # 1540
A Symonds,3.3,-,11,4,3.14,Australia,v India,Sydney,14 Jan 2000,ODI # 1540
MG Johnson,4.0,-,11,4,2.75,Australia,v India,Kuala Lumpur,16 Sep 2006,ODI # 2416
S Madan Lal,8.2,3,20,4,2.4,India,v Australia,Chelmsford,20 Jun 1983,ODI # 219
CJ McKay,4.4,-,20,4,4.28,Australia,v India,Melbourne,05 Feb 2012,ODI # 3231
IJ Harvey,4.5,-,21,4,4.34,Australia,v India,Eden Gardens,18 Nov 2003,ODI # 2064
JN Gillespie,9.0,1,26,4,2.88,Australia,v India,Colombo (SSC),28 Aug 1999,ODI # 1489
JA Richardson,10.0,2,26,4,2.6,Australia,v India,Sydney,12 Jan 2019,ODI # 4077
RMH Binny,8.0,2,29,4,3.62,India,v Australia,Chelmsford,20 Jun 1983,ODI # 219
NW Bracken,10.0,2,29,4,2.9,Australia,v India,Wankhede,01 Nov 2003,ODI # 2054
PJ Cummins,9.0,2,29,4,3.22,Australia,v India,Nagpur,05 Mar 2019,ODI # 4106
N Kapil Dev,9.0,-,30,4,3.33,India,v Australia,Melbourne,31 Jan 1986,ODI # 360
J Srinath,10.0,2,30,4,3.0,India,v Australia,Sydney,14 Jan 2000,ODI # 1540
DK Lillee,10.0,1,32,4,3.2,Australia,v India,Sydney,15 Jan 1981,ODI # 108
TG Hogan,8.0,-,33,4,4.12,Australia,v India,Thiruvananthapuram,01 Oct 1984,ODI # 268
AB Agarkar,9.0,-,37,4,4.11,India,v Australia,Wankhede,01 Nov 2003,ODI # 2054
SR Tendulkar,9.1,-,38,4,4.14,India,v Australia,Dhaka,28 Oct 1998,ODI # 1360
I Sharma,9.1,1,38,4,4.14,India,v Australia,Melbourne,10 Feb 2008,ODI # 2675
SR Waugh,9.0,-,40,4,4.44,Australia,v India,Sharjah,19 Apr 1998,ODI # 1322
GJ Maxwell,10.0,-,40,4,4.0,Australia,v India,Rajkot,27 Sep 2023,ODI # 4657
