Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2019-2023,20,20,0,1131,123,56.55,1207,93.7,3,8,0,93,12
RG Sharma,2019-2023,16,16,0,739,133,46.18,817,90.45,2,4,2,59,26
KL Rahul,2019-2023,15,15,4,625,97*,56.81,665,93.98,0,6,0,46,17
RA Jadeja,2019-2023,20,15,5,343,66*,34.3,425,80.7,0,1,1,20,9
HH Pandya,2019-2023,8,8,2,335,92*,55.83,292,114.72,0,2,0,25,12
MS Dhoni,2019-2019,7,7,3,305,87*,76.25,393,77.6,0,4,1,20,6
SS Iyer,2020-2023,10,10,1,270,105,30,264,102.27,1,0,1,26,6
Shubman Gill,2020-2023,6,6,0,268,104,44.66,281,95.37,1,1,1,22,8
KM Jadhav,2019-2019,7,7,3,233,81*,58.25,264,88.25,0,2,0,24,2
SA Yadav,2023-2023,6,6,1,130,72*,26,96,135.41,0,2,3,12,7
V Shankar,2019-2019,6,4,0,120,46,30,107,112.14,0,0,0,10,4
RR Pant,2019-2020,3,3,0,80,36,26.66,73,109.58,0,0,0,7,3
RD Gaikwad,2023-2023,2,2,0,79,71,39.5,89,88.76,0,1,0,12,0
B Kumar,2019-2019,6,3,1,76,46,38,79,96.2,0,0,0,7,2
AT Rayudu,2019-2019,5,5,0,57,24,11.4,97,58.76,0,0,1,6,0
Kuldeep Yadav,2019-2023,17,9,1,54,17,6.75,97,55.67,0,0,0,4,0
Mohammed Shami,2019-2023,17,10,2,53,14,6.62,58,91.37,0,0,1,5,2
Ishan Kishan,2023-2023,4,4,0,52,31,13,53,98.11,0,0,1,4,2
MA Agarwal,2020-2020,2,2,0,50,28,25,44,113.63,0,0,0,6,1
NA Saini,2020-2020,4,2,2,39,29*,-,45,86.66,0,0,0,2,1
KD Karthik,2019-2019,3,2,1,37,25*,37,35,105.71,0,0,0,2,0
AR Patel,2023-2023,2,2,1,31,29*,31,33,93.93,0,0,0,1,2
Washington Sundar,2023-2023,1,1,0,18,18,18,30,60,0,0,0,1,1
SN Thakur,2020-2023,5,1,0,13,13,13,10,130,0,0,0,2,0
JJ Bumrah,2019-2023,15,8,5,12,6*,4,24,50,0,0,2,1,1
MK Pandey,2020-2020,2,2,1,10,8*,10,8,125,0,0,0,2,0
YS Chahal,2019-2020,5,2,1,4,4*,4,7,57.14,0,0,1,0,0
Mohammed Siraj,2019-2023,6,3,1,4,3*,2,16,25,0,0,1,0,0
M Prasidh Krishna,2023-2023,2,1,1,0,0*,-,3,0,0,0,0,0,0
KK Ahmed,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
R Ashwin,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
T Natarajan,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
