Winner,Margin,Target,Overs,Opposition,Ground,Match Date,Scorecard
Australia,10 wickets,256,37.4,v India,Wankhede,14 Jan 2020,ODI # 4231
Australia,10 wickets,118,11.0,v India,Visakhapatnam,19 Mar 2023,ODI # 4541
Australia,9 wickets,181,42.2,v India,Sydney,18 Dec 1980,ODI # 100
Australia,9 wickets,64,21.0,v India,Sydney,8 Jan 1981,ODI # 104
Australia,9 wickets,176,39.2,v India,Sydney,14 Jan 1992,ODI # 705
Australia,9 wickets,126,22.2,v India,Centurion,15 Feb 2003,ODI # 1951
Australia,9 wickets,149,25.5,v India,Vadodara,11 Oct 2007,ODI # 2629
India,9 wickets,360,43.3,v Australia,Jaipur,16 Oct 2013,ODI # 3420
India,8 wickets,164,36.1,v Australia,Melbourne,3 Mar 1985,ODI # 315
India,8 wickets,162,40.2,v Australia,Melbourne,16 Jan 1986,ODI # 351
Australia,8 wickets,176,48.3,v India,Hobart,10 Dec 1991,ODI # 694
Australia,8 wickets,159,29.1,v India,Galle,23 Aug 1999,ODI # 1486
Australia,8 wickets,249,45.1,v India,Pune,28 Mar 2001,ODI # 1698
Australia,7 wickets,193,47.2,v India,Melbourne,11 Jan 1981,ODI # 106
Australia,7 wickets,207,43.5,v India,Ahmedabad,5 Oct 1984,ODI # 270
Australia,7 wickets,188,47.2,v India,Melbourne,9 Feb 1986,ODI # 363
India,7 wickets,251,41.0,v Australia,Jaipur,7 Sep 1986,ODI # 390
Australia,7 wickets,261,46.3,v India,Rajkot,7 Oct 1986,ODI # 395
India,7 wickets,177,42.0,v Australia,Sharjah,5 Apr 1987,ODI # 444
Australia,7 wickets,212,48.0,v India,Hamilton,8 Mar 1990,ODI # 618
India,7 wickets,245,45.4,v Australia,Sharjah,19 Apr 1994,ODI # 910
Australia,7 wickets,223,40.1,v India,Melbourne,6 Feb 2004,ODI # 2097
Australia,7 wickets,309,49.0,v India,Brisbane,15 Jan 2016,ODI # 3724
India,7 wickets,243,42.5,v Australia,Nagpur,1 Oct 2017,ODI # 3919
India,7 wickets,231,49.2,v Australia,Melbourne,18 Jan 2019,ODI # 4079
India,7 wickets,287,47.3,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
Australia,6 wickets,236,40.1,v India,Indore,6 Oct 1984,ODI # 271
India,6 wickets,236,48.5,v Australia,Melbourne,31 Jan 1986,ODI # 360
Australia,6 wickets,158,40.5,v India,Adelaide,15 Dec 1991,ODI # 697
India,6 wickets,223,44.3,v Australia,Kanpur,7 Apr 1998,ODI # 1308
India,6 wickets,273,48.3,v Australia,Sharjah,24 Apr 1998,ODI # 1327
Australia,6 wickets,250,45.4,v India,Mohali,29 Oct 2006,ODI # 2440
India,6 wickets,240,45.5,v Australia,Sydney,2 Mar 2008,ODI # 2688
India,6 wickets,230,48.2,v Australia,Delhi,31 Oct 2009,ODI # 2918
Australia,6 wickets,171,41.5,v India,Guwahati,8 Nov 2009,ODI # 2925
India,6 wickets,351,49.3,v Australia,Nagpur,30 Oct 2013,ODI # 3424
India,6 wickets,331,49.4,v Australia,Sydney,23 Jan 2016,ODI # 3727
India,6 wickets,299,49.2,v Australia,Adelaide,15 Jan 2019,ODI # 4078
India,6 wickets,237,48.2,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
India,6 wickets,200,41.2,v Australia,Chennai,8 Oct 2023,ODI # 4662
India,5 wickets,251,47.5,v Australia,Dunedin,22 Feb 1995,ODI # 979
Australia,5 wickets,101,26.5,v India,Sydney,14 Jan 2000,ODI # 1540
Australia,5 wickets,204,32.0,v India,Perth,1 Feb 2004,ODI # 2093
India,5 wickets,160,45.5,v Australia,Melbourne,10 Feb 2008,ODI # 2675
India,5 wickets,290,48.5,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
India,5 wickets,261,47.4,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
Australia,5 wickets,310,49.2,v India,Perth,12 Jan 2016,ODI # 3723
India,5 wickets,294,47.5,v Australia,Indore,24 Sep 2017,ODI # 3914
India,5 wickets,189,39.5,v Australia,Wankhede,17 Mar 2023,ODI # 4538
India,5 wickets,277,48.4,v Australia,Mohali,22 Sep 2023,ODI # 4651
Australia,4 wickets,162,45.2,v India,Brisbane,12 Jan 1986,ODI # 349
Australia,4 wickets,228,48.4,v India,Delhi,14 Apr 1998,ODI # 1316
Australia,4 wickets,227,49.3,v India,Perth,30 Jan 2000,ODI # 1552
Australia,4 wickets,266,48.0,v India,Margao,6 Apr 2001,ODI # 1701
India,4 wickets,270,49.4,v Australia,Adelaide,12 Feb 2012,ODI # 3237
Australia,4 wickets,304,49.3,v India,Mohali,19 Oct 2013,ODI # 3421
Australia,4 wickets,268,49.0,v India,Melbourne,18 Jan 2015,ODI # 3582
Australia,4 wickets,359,47.5,v India,Mohali,10 Mar 2019,ODI # 4111
India,3 wickets,140,39.2,v Australia,Sharjah,29 Mar 1985,ODI # 325
Australia,3 wickets,223,46.0,v India,Srinagar,9 Sep 1986,ODI # 391
India,3 wickets,239,43.3,v Australia,Delhi,2 Oct 1986,ODI # 393
India,3 wickets,248,47.1,v Australia,Bengaluru,27 Oct 1989,ODI # 587
Australia,3 wickets,202,44.3,v India,Colombo (SSC),6 Sep 1996,ODI # 1113
Australia,3 wickets,296,48.5,v India,Melbourne,17 Jan 2016,ODI # 3725
India,2 wickets,216,48.5,v Australia,Bengaluru,21 Oct 1996,ODI # 1129
Australia,2 wickets,225,33.5,v India,Sydney,22 Jan 2004,ODI # 2086
India,2 wickets,194,46.0,v Australia,Wankhede,17 Oct 2007,ODI # 2632
