Team 1,Team 2,Runs,Wkts,Overs,RR,Ground,Match Date,Scorecard
Australia,India,727,13,100.0,7.27,Sydney,29 Nov 2020,ODI # 4266
India,Australia,721,6,93.3,7.71,Jaipur,16 Oct 2013,ODI # 3420
India,Australia,717,15,97.5,7.32,Mohali,10 Mar 2019,ODI # 4111
India,Australia,709,16,95.1,7.45,Bengaluru,2 Nov 2013,ODI # 3428
India,Australia,701,10,99.3,7.04,Nagpur,30 Oct 2013,ODI # 3424
India,Australia,697,14,99.4,6.99,Hyderabad,5 Nov 2009,ODI # 2923
Australia,India,682,14,100.0,6.82,Sydney,27 Nov 2020,ODI # 4265
Australia,India,671,18,99.2,6.75,Canberra,20 Jan 2016,ODI # 3726
Australia,India,668,15,100.0,6.68,The Oval,9 Jun 2019,ODI # 4155
Australia,India,661,11,99.4,6.63,Sydney,23 Jan 2016,ODI # 3727
India,Australia,647,13,100.0,6.47,Bengaluru,28 Sep 2017,ODI # 3917
India,Australia,644,16,99.1,6.49,Rajkot,17 Jan 2020,ODI # 4232
India,Australia,638,17,99.4,6.4,Rajkot,27 Sep 2023,ODI # 4657
India,Australia,633,10,100.0,6.33,Bengaluru,12 Nov 2003,ODI # 2061
Australia,India,619,8,99.2,6.23,Perth,12 Jan 2016,ODI # 3723
Australia,India,617,11,99.0,6.23,Brisbane,15 Jan 2016,ODI # 3724
India,Australia,616,15,78.2,7.86,Indore,24 Sep 2023,ODI # 4654
Australia,India,616,17,99.1,6.21,Sydney,24 Feb 2008,ODI # 2685
India,Australia,616,15,100.0,6.16,Nagpur,14 Oct 2007,ODI # 2631
India,Australia,609,17,98.3,6.18,Nagpur,28 Oct 2009,ODI # 2915
India,Australia,607,15,99.3,6.1,Mohali,19 Oct 2013,ODI # 3421
Australia,India,597,13,99.2,6.01,Adelaide,15 Jan 2019,ODI # 4078
India,Australia,594,15,98.2,6.04,Ranchi,8 Mar 2019,ODI # 4109
Australia,India,593,12,89.2,6.63,Johannesburg,23 Mar 2003,ODI # 1993
