Team 1,Team 2,4s,6s,Unnamed: 4,Winner,Ground,Match Date,Scorecard
West Indies,England,64,46,,England,St George's,27 Feb 2019,ODI # 4099
India,Australia,59,38,,India,Bengaluru,2 Nov 2013,ODI # 3428
India,England,44,34,,England,Pune,26 Mar 2021,ODI # 4283
England,Afghanistan,37,33,,England,Manchester,18 Jun 2019,ODI # 4163
India,New Zealand,56,32,,India,Indore,24 Jan 2023,ODI # 4511
Australia,New Zealand,65,32,,Australia,Dharamsala,28 Oct 2023,ODI # 4684
New Zealand,India,62,31,,India,Christchurch,8 Mar 2009,ODI # 2823
New Zealand,West Indies,62,31,,New Zealand,Wellington,21 Mar 2015,ODI # 3643
Namibia,P.N.G.,61,31,,Namibia,Windhoek,29 Mar 2023,ODI # 4554
South Africa,Australia,57,31,,South Africa,Centurion,15 Sep 2023,ODI # 4646
South Africa,Sri Lanka,74,31,,South Africa,Delhi,7 Oct 2023,ODI # 4661
Netherlands,England,53,30,,England,Amstelveen,17 Jun 2022,ODI # 4413
India,New Zealand,58,30,,India,Wankhede,15 Nov 2023,ODI # 4703
West Indies,England,58,29,,England,Bridgetown,20 Feb 2019,ODI # 4096
India,West Indies,59,29,,India,Visakhapatnam,18 Dec 2019,ODI # 4222
England,West Indies,50,28,,England,Bristol,24 Sep 2017,ODI # 3915
U.A.E.,West Indies,47,28,,West Indies,Harare,6 Mar 2018,ODI # 3987
England,Australia,56,28,,England,Nottingham,19 Jun 2018,ODI # 4011
England,New Zealand,74,27,,New Zealand,The Oval,12 Jun 2015,ODI # 3655
India,Australia,55,27,,India,Indore,24 Sep 2023,ODI # 4654
South Africa,Australia,87,26,,South Africa,Johannesburg,12 Mar 2006,ODI # 2349
New Zealand,Australia,56,26,,New Zealand,Hamilton,20 Feb 2007,ODI # 2527
New Zealand,West Indies,31,26,,New Zealand,Queenstown,1 Jan 2014,ODI # 3451
South Africa,West Indies,48,26,,South Africa,Centurion,28 Jan 2015,ODI # 3593
South Africa,England,42,26,,England,Kimberley,1 Feb 2023,ODI # 4514
India,South Africa,63,25,,South Africa,Wankhede,25 Oct 2015,ODI # 3700
Nepal,U.A.E.,40,25,,Nepal,Kirtipur,16 Mar 2023,ODI # 4537
South Africa,West Indies,47,25,,West Indies,East London,18 Mar 2023,ODI # 4540
Australia,Pakistan,63,25,,Australia,Bengaluru,20 Oct 2023,ODI # 4675
India,Netherlands,56,25,,India,Bengaluru,12 Nov 2023,ODI # 4702
India,Sri Lanka,80,24,,India,Rajkot,15 Dec 2009,ODI # 2932
Afghanistan,Zimbabwe,42,24,,Zimbabwe,Sharjah,11 Feb 2018,ODI # 3974
New Zealand,England,55,24,,New Zealand,Dunedin,7 Mar 2018,ODI # 3989
Scotland,England,75,24,,Scotland,Edinburgh,10 Jun 2018,ODI # 4008
India,New Zealand,66,24,,India,Hyderabad,18 Jan 2023,ODI # 4507
Bangladesh,South Africa,51,24,,South Africa,Wankhede,24 Oct 2023,ODI # 4680
West Indies,India,42,23,,India,Kingston,26 Jun 2009,ODI # 2852
India,Australia,75,23,,India,Jaipur,16 Oct 2013,ODI # 3420
Pakistan,Sri Lanka,43,23,,Pakistan,Sharjah,18 Dec 2013,ODI # 3445
New Zealand,India,51,23,,tied,Auckland,25 Jan 2014,ODI # 3462
South Africa,West Indies,60,23,,South Africa,Johannesburg,18 Jan 2015,ODI # 3583
India,England,55,23,,India,Pune,15 Jan 2017,ODI # 3819
England,Pakistan,70,23,,England,Bristol,14 May 2019,ODI # 4135
Bangladesh,Ireland,52,23,,Bangladesh,Chelmsford,12 May 2023,ODI # 4577
Pakistan,Zimbabwe,31,22,,Pakistan,Kingston,21 Mar 2007,ODI # 2547
Africa XI,Asia XI,56,22,,Asia XI,Chennai,10 Jun 2007,ODI # 2589
India,England,56,22,,India,Rajkot,14 Nov 2008,ODI # 2774
India,Australia,55,22,,Australia,Hyderabad,5 Nov 2009,ODI # 2923
West Indies,Zimbabwe,49,22,,West Indies,Canberra,24 Feb 2015,ODI # 3612
South Africa,England,64,22,,England,Bloemfontein,3 Feb 2016,ODI # 3732
India,Australia,50,22,,Australia,Bengaluru,28 Sep 2017,ODI # 3917
England,Pakistan,47,22,,England,Southampton,11 May 2019,ODI # 4133
P.N.G.,U.S.A.,17,22,,U.S.A.,Al Amerat,9 Sep 2021,ODI # 4320
West Indies,India,42,22,,India,Port of Spain,24 Jul 2022,ODI # 4438
P.N.G.,U.A.E.,39,22,,U.A.E.,Kirtipur,15 Mar 2023,ODI # 4536
Ireland,U.A.E.,45,22,,Ireland,Bulawayo,27 Jun 2023,ODI # 4604
South Africa,Australia,42,22,,South Africa,Johannesburg,17 Sep 2023,ODI # 4648
England,South Africa,56,22,,South Africa,Wankhede,21 Oct 2023,ODI # 4677
Sri Lanka,Kenya,63,21,,Sri Lanka,Kandy,6 Mar 1996,ODI # 1074
New Zealand,Australia,65,21,,New Zealand,Christchurch,10 Dec 2005,ODI # 2303
Canada,West Indies,53,21,,West Indies,King City (NW),22 Aug 2008,ODI # 2749
West Indies,Bangladesh,46,21,,West Indies,Basseterre,25 Aug 2014,ODI # 3514
South Africa,Zimbabwe,47,21,,South Africa,Hamilton,15 Feb 2015,ODI # 3601
England,New Zealand,72,21,,England,Nottingham,17 Jun 2015,ODI # 3657
England,Pakistan,73,21,,England,Nottingham,30 Aug 2016,ODI # 3773
South Africa,Australia,65,21,,South Africa,Durban,5 Oct 2016,ODI # 3790
New Zealand,Sri Lanka,54,21,,New Zealand,Mount Maunganui,3 Jan 2019,ODI # 4074
Afghanistan,Ireland,32,21,,Afghanistan,Abu Dhabi,21 Jan 2021,ODI # 4271
Oman,U.A.E.,61,21,,U.A.E.,Al Amerat,5 Feb 2022,ODI # 4351
West Indies,New Zealand,45,21,,New Zealand,Bridgetown,21 Aug 2022,ODI # 4456
South Africa,England,57,21,,South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
Nepal,Namibia,49,21,,Nepal,Kirtipur,14 Feb 2023,ODI # 4515
South Africa,Australia,69,21,,Australia,Bloemfontein,9 Sep 2023,ODI # 4638
New Zealand,Pakistan,61,21,,Pakistan,Bengaluru,4 Nov 2023,ODI # 4692
Afghanistan,Australia,46,21,,Australia,Wankhede,7 Nov 2023,ODI # 4696
Pakistan,Sri Lanka,55,20,,Pakistan,Nairobi (Gym),4 Oct 1996,ODI # 1125
New Zealand,Australia,48,20,,Australia,Christchurch,26 Feb 2000,ODI # 1569
New Zealand,Australia,65,20,,New Zealand,Auckland,18 Feb 2007,ODI # 2526
Bermuda,India,45,20,,India,Port of Spain,19 Mar 2007,ODI # 2542
South Africa,Australia,64,20,,South Africa,Centurion,30 Sep 2016,ODI # 3785
Hong Kong,P.N.G.,36,20,,Hong Kong,ICCA Dubai,8 Dec 2017,ODI # 3938
India,West Indies,68,20,,India,Guwahati,21 Oct 2018,ODI # 4056
New Zealand,Sri Lanka,49,20,,New Zealand,Mount Maunganui,5 Jan 2019,ODI # 4075
Afghanistan,Ireland,32,20,,Ireland,Dehradun,5 Mar 2019,ODI # 4105
Australia,India,64,20,,Australia,Sydney,29 Nov 2020,ODI # 4266
South Africa,Pakistan,69,20,,South Africa,Johannesburg,4 Apr 2021,ODI # 4286
Ireland,New Zealand,74,20,,New Zealand,Dublin (Malahide),15 Jul 2022,ODI # 4429
Bangladesh,India,55,20,,India,Chattogram,10 Dec 2022,ODI # 4499
Pakistan,Sri Lanka,46,19,,Sri Lanka,Singapore,2 Apr 1996,ODI # 1088
Zimbabwe,New Zealand,58,19,,New Zealand,Bulawayo,24 Aug 2005,ODI # 2272
Netherlands,South Africa,47,19,,South Africa,Basseterre,16 Mar 2007,ODI # 2537
West Indies,South Africa,46,19,,South Africa,St George's,10 Apr 2007,ODI # 2567
New Zealand,Zimbabwe,44,19,,New Zealand,Whangarei,6 Feb 2012,ODI # 3232
New Zealand,Zimbabwe,36,19,,New Zealand,Napier,9 Feb 2012,ODI # 3234
West Indies,Australia,52,19,,West Indies,Gros Islet,23 Mar 2012,ODI # 3268
South Africa,Pakistan,55,19,,South Africa,Johannesburg,17 Mar 2013,ODI # 3347
India,West Indies,55,19,,India,Dharamsala,17 Oct 2014,ODI # 3535
England,Pakistan,52,19,,England,Dubai (DSC),20 Nov 2015,ODI # 3712
India,England,81,19,,India,Cuttack,19 Jan 2017,ODI # 3821
India,Australia,57,19,,Australia,Mohali,10 Mar 2019,ODI # 4111
Bangladesh,Zimbabwe,43,19,,Bangladesh,Sylhet,6 Mar 2020,ODI # 4253
Oman,U.S.A.,24,19,,Oman,Al Amerat,20 Sep 2021,ODI # 4329
Oman,Scotland,39,19,,Scotland,Al Amerat,28 Sep 2021,ODI # 4332
South Africa,Bangladesh,47,19,,Bangladesh,Centurion,18 Mar 2022,ODI # 4370
Ireland,New Zealand,57,19,,New Zealand,Dublin (Malahide),10 Jul 2022,ODI # 4419
West Indies,India,45,19,,India,Tarouba,1 Aug 2023,ODI # 4624
India,Australia,58,19,,Australia,Rajkot,27 Sep 2023,ODI # 4657
New Zealand,South Africa,43,19,,South Africa,Pune,1 Nov 2023,ODI # 4689
Ireland,New Zealand,46,18,,New Zealand,Aberdeen,1 Jul 2008,ODI # 2727
South Africa,Bangladesh,42,18,,South Africa,Benoni,9 Nov 2008,ODI # 2772
Zimbabwe,Bangladesh,26,18,,Zimbabwe,Bulawayo,14 Aug 2009,ODI # 2872
South Africa,Zimbabwe,39,18,,South Africa,Benoni,22 Oct 2010,ODI # 3061
New Zealand,Pakistan,45,18,,New Zealand,Auckland,5 Feb 2011,ODI # 3097
Scotland,Ireland,50,18,,Scotland,Edinburgh,12 Jul 2011,ODI # 3171
Bangladesh,Pakistan,60,18,,Pakistan,Mirpur,4 Mar 2014,ODI # 3482
Ireland,West Indies,62,18,,Ireland,Nelson,16 Feb 2015,ODI # 3603
India,Zimbabwe,50,18,,India,Auckland,14 Mar 2015,ODI # 3636
Afghanistan,Zimbabwe,36,18,,Afghanistan,Sharjah,29 Dec 2015,ODI # 3716
Ireland,Sri Lanka,54,18,,Sri Lanka,Dublin (Malahide),18 Jun 2016,ODI # 3749
Australia,New Zealand,53,18,,Australia,Canberra,6 Dec 2016,ODI # 3812
New Zealand,South Africa,48,18,,New Zealand,Hamilton,1 Mar 2017,ODI # 3843
